name,images
BASIC PUFFER JACKET,"['https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_1_1_1.jpg?ts=1691143602663', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_2_1_1.jpg?ts=1691143602184', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_2_2_1.jpg?ts=1691143602614', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_2_3_1.jpg?ts=1691143603207', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_2_4_1.jpg?ts=1691143602647', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_6_1_1.jpg?ts=1691076764895', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_6_2_1.jpg?ts=1691076764912', 'https://static.zara.net/photos///2023/I/0/2/p/6985/450/250/2/w/1920/6985450250_6_3_1.jpg?ts=1691076765246']"
TUXEDO JACKET,"['https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_1_1_1.jpg?ts=1707215340123', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_1_1.jpg?ts=1707215339442', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_2_1.jpg?ts=1707215339447', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_3_1.jpg?ts=1707215339263', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_4_1.jpg?ts=1707215341196', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_5_1.jpg?ts=1707215340176', 'https://static.zara.net/photos///2024/V/0/1/p/8896/675/800/2/w/1920/8896675800_2_6_1.jpg?ts=1707215341193', 'https://static.zara.net/photos///2023/I/0/2/p/8896/675/800/2/w/1920/8896675800_6_1_1.jpg?ts=1696921814938', 'https://static.zara.net/photos///2023/I/0/2/p/8896/675/800/2/w/1920/8896675800_6_2_1.jpg?ts=1696921815489', 'https://static.zara.net/photos///2023/I/0/2/p/8896/675/800/2/w/1920/8896675800_6_3_1.jpg?ts=1696921818078']"
SLIM FIT SUIT JACKET,"['https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_1_1_1.jpg?ts=1689605442163', 'https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_2_1_1.jpg?ts=1689605445145', 'https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_2_2_1.jpg?ts=1689605443271', 'https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_2_3_1.jpg?ts=1689605442393', 'https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_2_4_1.jpg?ts=1689605446770', 'https://static.zara.net/photos///2023/I/0/2/p/1564/700/800/2/w/1920/1564700800_2_5_1.jpg?ts=1689605447624', 'https://static.zara.net/photos///2023/I/0/2/p/8288/510/800/2/w/1920/8288510800_6_1_1.jpg?ts=1689590970125', 'https://static.zara.net/photos///2023/I/0/2/p/8288/510/800/2/w/1920/8288510800_6_2_1.jpg?ts=1689590970452', 'https://static.zara.net/photos///2023/I/0/2/p/8288/510/800/2/w/1920/8288510800_6_3_1.jpg?ts=1689590971512']"
STRETCH SUIT JACKET,"['https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_1_1_1.jpg?ts=1707224041633', 'https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_2_1_1.jpg?ts=1707224039853', 'https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_2_2_1.jpg?ts=1707224039965', 'https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_2_3_1.jpg?ts=1707224040332', 'https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_2_4_1.jpg?ts=1707224040474', 'https://static.zara.net/photos///2024/V/0/1/p/1564/300/420/2/w/1920/1564300420_2_5_1.jpg?ts=1707224041901', 'https://static.zara.net/photos///2024/V/0/2/p/1564/300/420/2/w/1920/1564300420_6_1_1.jpg?ts=1706862062633', 'https://static.zara.net/photos///2024/V/0/2/p/1564/300/420/2/w/1920/1564300420_6_2_1.jpg?ts=1706862062606', 'https://static.zara.net/photos///2024/V/0/2/p/1564/300/420/2/w/1920/1564300420_6_3_1.jpg?ts=1706862063146']"
DOUBLE FACED JACKET,"['https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_1_1_1.jpg?ts=1705480812773', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_2_1_1.jpg?ts=1705480812421', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_2_2_1.jpg?ts=1705480813152', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_2_3_1.jpg?ts=1705480812303', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_2_4_1.jpg?ts=1705480813126', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_6_1_1.jpg?ts=1705322984846', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_6_2_1.jpg?ts=1705322984847', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_6_3_1.jpg?ts=1705322985455', 'https://static.zara.net/photos///2024/V/0/2/p/8281/477/800/2/w/1920/8281477800_6_4_1.jpg?ts=1705322985171']"
CONTRASTING COLLAR JACKET,"['https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_1_1_1.jpg?ts=1707324106995', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_2_1_1.jpg?ts=1707324106877', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_2_2_1.jpg?ts=1707324107029', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_2_3_1.jpg?ts=1707324106941', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_2_4_1.jpg?ts=1707324106985', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_2_5_1.jpg?ts=1707324107074', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_6_1_1.jpg?ts=1707295792194', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_6_2_1.jpg?ts=1707295792450', 'https://static.zara.net/photos///2024/V/0/2/p/6987/331/807/2/w/1920/6987331807_6_3_1.jpg?ts=1707295797127']"
FAUX LEATHER PUFFER JACKET,"['https://static.zara.net/photos///2023/I/0/1/p/8281/420/800/2/w/1920/8281420800_1_1_1.jpg?ts=1696408603918', 'https://static.zara.net/photos///2023/I/0/1/p/8281/420/800/2/w/1920/8281420800_2_1_1.jpg?ts=1696408603911', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_2_2_1.jpg?ts=1696333499557', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_2_3_1.jpg?ts=1696333499485', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_2_4_1.jpg?ts=1696333499787', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_6_1_1.jpg?ts=1695972909867', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_6_2_1.jpg?ts=1695972910056', 'https://static.zara.net/photos///2023/I/0/2/p/8281/420/800/2/w/1920/8281420800_6_3_1.jpg?ts=1695972911787']"
SUIT JACKET IN 100% LINEN,"['https://static.zara.net/photos///2024/V/0/1/p/4307/408/431/2/w/1920/4307408431_1_1_1.jpg?ts=1707218462789', 'https://static.zara.net/photos///2024/V/0/1/p/4307/408/431/2/w/1920/4307408431_2_1_1.jpg?ts=1707218461951', 'https://static.zara.net/photos///2024/V/0/1/p/4307/408/431/2/w/1920/4307408431_2_2_1.jpg?ts=1707218462232', 'https://static.zara.net/photos///2024/V/0/1/p/4307/408/431/2/w/1920/4307408431_2_3_1.jpg?ts=1707218461540', 'https://static.zara.net/photos///2024/V/0/1/p/4307/408/431/2/w/1920/4307408431_2_4_1.jpg?ts=1707218462420', 'https://static.zara.net/photos///2024/V/0/2/p/4307/408/431/2/w/1920/4307408431_6_1_1.jpg?ts=1704970177735', 'https://static.zara.net/photos///2024/V/0/2/p/4307/408/431/2/w/1920/4307408431_6_2_1.jpg?ts=1704970177734', 'https://static.zara.net/photos///2024/V/0/2/p/4307/408/431/2/w/1920/4307408431_6_3_1.jpg?ts=1704970179815']"
100% WOOL SUIT JACKET,"['https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_1_1_1.jpg?ts=1707214679962', 'https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_2_1_1.jpg?ts=1707214679718', 'https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_2_2_1.jpg?ts=1707214679446', 'https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_2_3_1.jpg?ts=1707214679139', 'https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_2_4_1.jpg?ts=1707214679971', 'https://static.zara.net/photos///2024/V/0/1/p/5955/218/401/2/w/1920/5955218401_2_5_1.jpg?ts=1707214680859', 'https://static.zara.net/photos///2023/I/0/2/p/5955/218/401/2/w/1920/5955218401_6_1_1.jpg?ts=1691417639331', 'https://static.zara.net/photos///2023/I/0/1/p/5955/218/401/2/w/1920/5955218401_6_2_1.jpg?ts=1691574966606', 'https://static.zara.net/photos///2023/I/0/2/p/5955/218/401/2/w/1920/5955218401_6_3_1.jpg?ts=1691417639594']"
100% FEATHER FILL PUFFER JACKET,"['https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_2_1_1.jpg?ts=1696577676839', 'https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_2_4_1.jpg?ts=1696577677962', 'https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_1_1_1.jpg?ts=1696577676945', 'https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_2_2_1.jpg?ts=1696577677170', 'https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_2_3_1.jpg?ts=1696577676496', 'https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/1920/4302305800_6_1_1.jpg?ts=1703838861782', 'https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/1920/4302305800_6_2_1.jpg?ts=1703838861699', 'https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/1920/4302305800_6_3_1.jpg?ts=1703838861749', 'https://static.zara.net/photos///2024/V/0/2/p/4302/305/800/2/w/1920/4302305800_6_4_1.jpg?ts=1703838861732']"
